M3001000, Usage of Research Tools & Research Writing, 4, 工学部先進国際課程, 後期, 豊洲, 人文社会情報系教養科目
M3009000, Making Effective Presentations, 4, 工学部先進国際課程, 後期, 豊洲, 人文社会情報系教養科目
M3017000, Contemporary Society： Changes in Japanese Work Culture, 4, 工学部先進国際課程, 後期, 豊洲, 人文社会情報系教養科目
M3025000, Science and Religion in Japan, 4, 工学部先進国際課程, 後期, 豊洲, 人文社会情報系教養科目
M3029000, Engineering Ethics, 4, 工学部先進国際課程, 後期, 豊洲, 人文社会情報系教養科目
M3005000, Academic English Writing for University Coursework, 1, 工学部先進国際課程, 前期, 大宮, 人文社会情報系教養科目
M3013000, Diversity and Cultures of other countries, 1, 工学部先進国際課程, 前期, 大宮, 人文社会情報系教養科目
M3021000, Career Design： Developing yourself for your future career, 2, 工学部先進国際課程, 前期, 大宮, 人文社会情報系教養科目
M3037000, Volleyball（Technical）, 4, 工学部先進国際課程, 後期, 豊洲, 体育・健康科目
M3053000, Soccer （Sports communication), 1, 工学部先進国際課程, 前期, 大宮, 体育・健康科目
M3057000, Japanese Language I, 4, 工学部先進国際課程, 前期, 豊洲, 全学共通科目
M3061000, Japanese Language II, 4, 工学部先進国際課程, 前期, 豊洲, 全学共通科目
M2009000, Calculus II, 4, 工学部先進国際課程, 後期, 豊洲, 数理基礎科目
M2017000, Linear Algebra, 4, 工学部先進国際課程, 後期, 豊洲, 数理基礎科目
M2001000, Pre-calculus, 1, 工学部先進国際課程, 前期, 大宮, 数理基礎科目
M2005000, Calculus I, 1, 工学部先進国際課程, 前期, 大宮, 数理基礎科目
M2021000, Probability and Statistics, 1, 工学部先進国際課程, 後期, 大宮, 数理基礎科目
M2013000, Calculus III, 2, 工学部先進国際課程, 前期, 大宮, 数理基礎科目
M2033000, Physics: Mechanics, 4, 工学部先進国際課程, 後期, 豊洲, 数理基礎科目
M2025000, Basic Physics, 1, 工学部先進国際課程, 前期, 大宮, 数理基礎科目
M2030000, Mathematical Methods in Physics and Engineering, 1, 工学部先進国際課程, 前期, 大宮, 数理基礎科目
M2041000, Physics: Electromagnetism, 1, 工学部先進国際課程, 前期, 大宮, 数理基礎科目
M2049000, Physics: Optics, 1, 工学部先進国際課程, 後期, 大宮, 数理基礎科目
M2037000, Physics: Thermodynamics, 2, 工学部先進国際課程, 前期, 大宮, 数理基礎科目
M2045000, Physics: Fluidodynamics, Oscillations and Waves, 2, 工学部先進国際課程, 前期, 大宮, 数理基礎科目
M2065000, Instrumental Analysis, 4, 工学部先進国際課程, 後期, 豊洲, 数理基礎科目
M2069000, General Chemistry B, 4, 工学部先進国際課程, 後期, 豊洲, 数理基礎科目
M2057000, Basic Chemistry, 1, 工学部先進国際課程, 前期, 大宮, 数理基礎科目
M2061000, General Chemistry A, 1, 工学部先進国際課程, 前期, 大宮, 数理基礎科目
M2081000, Web design and programming, 4, 工学部先進国際課程, 後期, 豊洲, 情報科目
M2077000, Introduction to Computer Programming （Python， R， C， Java）, 1, 工学部先進国際課程, 前期, 大宮, 情報科目
M2085000, Introduction to Computer Networks, 1, 工学部先進国際課程, 前期, 大宮, 情報科目
M2089000, Information Literacy, 1, 工学部先進国際課程, 前期, 大宮, 情報科目
M2093000, Introduction to Information Processing, 2, 工学部先進国際課程, 前期, 大宮, 情報科目
M2073000, Introduction to Multimedia technology, 3, 工学部先進国際課程, 前期, 豊洲, 情報科目
M0001000, Freshman thesis program I（上岡英史）, 4, 工学部先進国際課程, 前期, 豊洲, 専門科目
M0005000, Freshman thesis program II（上岡英史）, 4, 工学部先進国際課程, 前期, 豊洲, 専門科目
M0033000, Freshman lab seminar I（上岡英史）, 4, 工学部先進国際課程, 前期, 豊洲, 専門科目
M0037000, Freshman lab seminar II（上岡英史）, 4, 工学部先進国際課程, 前期, 豊洲, 専門科目
M0009000, Sophomore thesis program I（上岡英史）, 1, 工学部先進国際課程, 後期, 大宮, 専門科目
M0013000, Sophomore thesis program II（上岡英史）, 1, 工学部先進国際課程, 後期, 大宮, 専門科目
M0041000, Sophomore lab seminar I（上岡英史）, 1, 工学部先進国際課程, 後期, 大宮, 専門科目
M0045000, Sophomore lab seminar II　　（上岡英史）, 1, 工学部先進国際課程, 後期, 大宮, 専門科目
M0017000, Junior thesis program I（上岡英史）, 2, 工学部先進国際課程, 後期, 大宮, 専門科目
M0021000, Junior thesis program II（上岡英史）, 2, 工学部先進国際課程, 後期, 大宮, 専門科目
M0049000, Junior lab seminar I（上岡英史）, 2, 工学部先進国際課程, 後期, 大宮, 専門科目
M0053000, Junior lab seminar II　　（上岡英史）, 2, 工学部先進国際課程, 後期, 大宮, 専門科目
M0025000, Graduation thesis program I（上岡英史）, 3, 工学部先進国際課程, 後期, 豊洲, 専門科目
M0029000, Graduation thesis program II（上岡英史）, 3, 工学部先進国際課程, 後期, 豊洲, 専門科目
M0057000, Senior lab seminar I（上岡英史）, 3, 工学部先進国際課程, 後期, 豊洲, 専門科目
M0061000, Senior lab seminar II　　（上岡英史）, 3, 工学部先進国際課程, 後期, 豊洲, 専門科目
M0073000, Advanced Course on Materials Science and Engineering, 4, 工学部先進国際課程, 後期, 豊洲, 専門科目
M0077000, Introduction to Applied Chemistry　, 4, 工学部先進国際課程, 後期, 豊洲, 専門科目
M0089000, Introduction to Information and Communications Engineering, 4, 工学部先進国際課程, 後期, 豊洲, 専門科目
M0065000, Advanced Course on Mechanical Engineering, 1, 工学部先進国際課程, 前期, 大宮, 専門科目
M0069000, Advanced Course on Engineering Science & Mechanics, 1, 工学部先進国際課程, 前期, 大宮, 専門科目
M0081000, Introduction of Electrical Engineering Research, 1, 工学部先進国際課程, 前期, 大宮, 専門科目
M0085000, Introduction to Advanced Electronics, 1, 工学部先進国際課程, 前期, 大宮, 専門科目
M0093000, Introduction to Computer Science and Engineering, 1, 工学部先進国際課程, 前期, 大宮, 専門科目
M0097000, Lectures on Civil Engineering, 1, 工学部先進国際課程, 前期, 大宮, 専門科目
M0101000, Introduction to Advanced Science and Technology, 1, 工学部先進国際課程, 前期, 大宮, 専門科目
M0133000, Interaction Design, 4, 工学部先進国際課程, 後期, 豊洲, 専門科目
M0105000, Hydrodynamics, 1, 工学部先進国際課程, 後期, 大宮, 専門科目
M0109000, Combustion Engineering, 1, 工学部先進国際課程, 後期, 大宮, 専門科目
M0113000, Semiconductor Materials, 1, 工学部先進国際課程, 後期, 大宮, 専門科目
M0117000, Applied Chemistry Laboratory, 1, 工学部先進国際課程, 後期, 大宮, 専門科目
M0121000, Applied Mathematics, 1, 工学部先進国際課程, 後期, 大宮, 専門科目
M0125000, Experiments in electronic engineering course, 1, 工学部先進国際課程, 後期, 大宮, 専門科目
M0137000, Soil Mechanics, 1, 工学部先進国際課程, 後期, 大宮, 専門科目
M0145000, Biophysics, 1, 工学部先進国際課程, 後期, 大宮, 専門科目
M0165000, Nanostructure Physics II, 1, 工学部先進国際課程, 後期, 大宮, 専門科目
M0169000, Magnetism and Magnetic Materials, 1, 工学部先進国際課程, 後期, 大宮, 専門科目
M0173000, Practical Materialography, 1, 工学部先進国際課程, 後期, 大宮, 専門科目
M0185000, Fundamentals of Analytical Chemistry, 1, 工学部先進国際課程, 後期, 大宮, 専門科目
M0189000, Fundamentals of Physical Chemistry, 1, 工学部先進
