H0863400, 導入ゼミナール, 4, 工学部土木工学科, 後期, 豊洲, 専門
H0670300, 土木キャリアセミナー, 3, 工学部土木工学科, 前期, 豊洲, 専門
H0675200, 土木工学総合講義, 3, 工学部土木工学科, 前期, 豊洲, 専門
H0610900, 都市計画, 2, 工学部土木工学科, 前期, 大宮, 専門
H0685100, 土木ゼミナール, 2, 工学部土木工学科, 後期, 大宮, 専門
H0871301, 土木設計演習１, 2, 工学部土木工学科, 後期, 大宮, 専門
H0809700, 地理情報システム演習, 3, 工学部土木工学科, 前期, 豊洲, 専門
H0300700, 交通計画, 1, 工学部土木工学科, 後期, 大宮, 専門
H0020100, 土木の力学, 1, 工学部土木工学科, 後期, 大宮, 専門
H0201700, 流れの力学, 1, 工学部土木工学科, 後期, 大宮, 専門
H0640600, 応用統計学, 2, 工学部土木工学科, 前期, 大宮, 専門
H0465800, 土木計画学２, 2, 工学部土木工学科, 後期, 大宮, 専門
H0295900, 環境の科学, 4, 工学部土木工学科, 後期, 豊洲, 専門
H0010200, 土木構造物概論, 4, 工学部土木工学科, 後期, 豊洲, 専門
H0550700, 地圈の科学, 4, 工学部土木工学科, 後期, 豊洲, 専門
H0721400, 土木解析学１, 1, 工学部土木工学科, 前期, 大宮, 専門
H0320500, 測量学, 1, 工学部土木工学科, 前期, 大宮, 専門
H0861800, 地理情報システム, 3, 工学部土木工学科, 前期, 豊洲, 専門
H0722200, 土木解析学２, 1, 工学部土木工学科, 後期, 大宮, 専門
H0797400, 応用測量学, 1, 工学部土木工学科, 後期, 大宮, 専門
H0370000, 測量学実習１, 1, 工学部土木工学科, 後期, 大宮, 専門
H0380900, 測量学実習２, 2, 工学部土木工学科, 前期, 大宮, 専門
H0290000, 水文学, 2, 工学部土木工学科, 前期, 大宮, 専門
H0611700, 地域計画演習, 3, 工学部土木工学科, 前期, 豊洲, 専門
H0030000, 構造力学１, 2, 工学部土木工学科, 前期, 大宮, 専門
H0500200, 土の力学, 2, 工学部土木工学科, 前期, 大宮, 専門
H0130800, コンクリート構造学１, 2, 工学部土木工学科, 前期, 大宮, 専門
H0871200, マテリアルデザイン, 1, 工学部土木工学科, 後期, 大宮, 専門
H0211600, 水理学, 2, 工学部土木工学科, 前期, 大宮, 専門
H0871500, 学外体験学習１, 1, 工学部土木工学科, 後期, 大宮, 専門
H0675100, 土木計画学１, 1, 工学部土木工学科, 前期, 大宮, 専門
H0762801, 土木情報処理, 1, 工学部土木工学科, 前期, 大宮, 専門
H0940000, Introduction to Transportation Systems, 1, 工学部土木工学科, 前期, 大宮, 専門
H0911000, 土木工学海外演習１, 4, 工学部土木工学科, 前期, 豊洲, 専門
H0912000, 土木工学海外演習２, 4, 工学部土木工学科, 前期, 豊洲, 専門
H0913000, 土木工学海外演習３, 4, 工学部土木工学科, 前期, 豊洲, 専門
H0914000, 土木工学国際演習１, 4, 工学部土木工学科, 前期, 豊洲, 専門
H0915000, 土木工学国際演習２, 4, 工学部土木工学科, 前期, 豊洲, 専門
H0916000, 土木工学国際演習３, 4, 工学部土木工学科, 前期, 豊洲, 専門
H0041000, 構造力学演習, 2, 工学部土木工学科, 前期, 大宮, 専門
H0859300, 空間情報科学, 2, 工学部土木工学科, 前期, 大宮, 専門
H0871660, 地域デザイン演習I, 2, 工学部土木工学科, 前期, 大宮, 専門
H0810510, 社会調査演習, 2, 工学部土木工学科, 後期, 大宮, 専門
H0930000, Soil Mechanics A, 2, 工学部土木工学科, 後期, 大宮, 専門
H0936000, Structural Dynamics in Civil Engineering, 2, 工学部土木工学科, 後期, 大宮, 専門
H0938000, Basic Hydrology, 2, 工学部土木工学科, 後期, 大宮, 専門
H0939100, モビリティと地域開発, 2, 工学部土木工学科, 後期, 大宮, 専門
H0870000, 国際開発工学, 3, 工学部土木工学科, 前期, 豊洲, 専門
H0871410, 土木設計演習２, 3, 工学部土木工学科, 前期, 豊洲, 専門
H0931000, Soil Mechanics B, 3, 工学部土木工学科, 前期, 豊洲, 専門
H0932000, Construction Materials, 3, 工学部土木工学科, 前期, 豊洲, 専門
H0933000, Maintenance of Steel Structures, 3, 工学部土木工学科, 前期, 豊洲, 専門
H0935000, Transportation Planning, 3, 工学部土木工学科, 前期, 豊洲, 専門
H0937000, River Engineering, 3, 工学部土木工学科, 前期, 豊洲, 専門
H0871700, 学外体験学習２, 2, 工学部土木工学科, 後期, 大宮, 専門
H0934000, Survey Instrument Design, 3, 工学部土木工学科, 後期, 豊洲, 専門
H0675309, Lectures on Civil Engineering, 4, 工学部土木工学科, 前期, 豊洲, 専門
H0040900, 構造力学２, 2, 工学部土木工学科, 後期, 大宮, 専門
