D0012700, 無機化学１, 4, 応用化学科, 後期, 豊洲, 専門
D0020000, 無機化学２, 1, 応用化学科, 前期, 大宮, 専門
D0032500, 有機化学, 4, 応用化学科, 後期, 豊洲, 専門
D0040800, 有機反応論, 1, 応用化学科, 前期, 大宮, 専門
D0041600, 有機合成化学, 3, 応用化学科, 前期, 豊洲, 専門
D0050700, 分析化学, 1, 応用化学科, 前期, 大宮, 専門
D0051800, 化学分光学, 2, 応用化学科, 前期, 大宮, 専門
D0071300, 物理化学１, 1, 応用化学科, 前期, 大宮, 専門
D0072100, 物理化学２, 1, 応用化学科, 後期, 大宮, 専門
D0150500, 電気化学, 2, 応用化学科, 後期, 大宮, 専門
D0091100, 化学工学１, 4, 応用化学科, 後期, 豊洲, 専門
D0092900, 化学工学２, 1, 応用化学科, 後期, 大宮, 専門
D0101800, 分離工学, 2, 応用化学科, 後期, 大宮, 専門
D0140600, セラミックス化学, 2, 応用化学科, 後期, 大宮, 専門
D0161200, 工業化学概論, 4, 応用化学科, 後期, 豊洲, 専門
D0180200, 無機物質化学, 3, 応用化学科, 前期, 豊洲, 専門
D0230500, 高分子化学, 3, 応用化学科, 前期, 豊洲, 専門
D0251100, 生物有機化学, 1, 応用化学科, 後期, 大宮, 専門
D0502700, 生物化学, 2, 応用化学科, 前期, 大宮, 専門
D0501900, 応用生物化学, 3, 応用化学科, 前期, 豊洲, 専門
D0503800, ケミカルバイオロジー基礎, 2, 応用化学科, 後期, 大宮, 専門
D0280000, Introduction to Chemical Spectroscopy, 1, 応用化学科, 後期, 大宮, 専門
C0180400, 腐食・防食学, 3, 応用化学科, 前期, 豊洲, 専門
D0300600, 光化学, 3, 応用化学科, 前期, 豊洲, 専門
D0345100, 有機構造決定法, 2, 応用化学科, 後期, 大宮, 専門
D0480600, 環境化学, 2, 応用化学科, 後期, 大宮, 専門
D0400400, 化学工業総論, 3, 応用化学科, 前期, 豊洲, 専門
D0560500, 地球科学, 3, 応用化学科, 前期, 豊洲, 専門
D0350100, 分析化学実験, 1, 応用化学科, 後期, 大宮, 専門
D0360000, 物理化学実験, 2, 応用化学科, 前期, 大宮, 専門
D0370900, 有機化学実験, 2, 応用化学科, 後期, 大宮, 専門
D0380800, 化学工学実験, 3, 応用化学科, 前期, 豊洲, 専門
D0540700, 生物化学実験, 1, 応用化学科, 後期, 大宮, 専門
D0570400, 地質・鉱物化学実験, 1, 応用化学科, 後期, 大宮, 専門
D0241500, 化学結合論, 1, 応用化学科, 前期, 大宮, 専門
C0360200, Semiconductor Materials, 2, 応用化学科, 後期, 大宮, 専門
D0045800, 反応工学, 2, 応用化学科, 後期, 大宮, 専門
D0580400, Applied Chemistry Laboratory, 2, 応用化学科, 後期, 大宮, 専門
D0580500, Introduction to Applied Chemistry, 2, 応用化学科, 後期, 大宮, 専門
D0011500, Basic Thermodynamics for Chemists and Chemical Engineers, 3, 応用化学科, 前期, 豊洲, 専門
D0501800, Foundations of　Chemical Biology, 3, 応用化学科, 前期, 豊洲, 専門
D0470800, 卒業研究２（栗島英明）, 3, 応用化学科, 後期, 豊洲, 専門
D0470750, 卒業研究１（吉見靖男）, 3, 応用化学科, 後期, 豊洲, 専門
D0470800, 卒業研究２（吉見靖男）, 3, 応用化学科, 後期, 豊洲, 専門
D0470750, 卒業研究１（石井朱美）, 3, 応用化学科, 後期, 豊洲, 専門
D0470750, 卒業研究１（今林慎一郎）, 3, 応用化学科, 後期, 豊洲, 専門
D0470750, 卒業研究１（大口裕之）, 3, 応用化学科, 後期, 豊洲, 専門
D0470750, 卒業研究１（北川理）, 3, 応用化学科, 後期, 豊洲, 専門
D0470750, 卒業研究１（木戸脇匡俊）, 3, 応用化学科, 後期, 豊洲, 専門
D0470750, 卒業研究１（清野肇）, 3, 応用化学科, 後期, 豊洲, 専門
D0470750, 卒業研究１（栗島英明）, 3, 応用化学科, 後期, 豊洲, 専門
D0470750, 卒業研究１（小西利史）, 3, 応用化学科, 後期, 豊洲, 専門
D0470750, 卒業研究１（田嶋稔樹）, 3, 応用化学科, 後期, 豊洲, 専門
D0470750, 卒業研究１（中村朝夫）, 3, 応用化学科, 後期, 豊洲, 専門
D0470750, 卒業研究１（永直文）, 3, 応用化学科, 後期, 豊洲, 専門
D0470750, 卒業研究１（野村幹弘）, 3, 応用化学科, 後期, 豊洲, 専門
D0470750, 卒業研究１（幡野明彦）, 3, 応用化学科, 後期, 豊洲, 専門
D0470750, 卒業研究１（濱崎啓太）, 3, 応用化学科, 後期, 豊洲, 専門
D0470750, 卒業研究１（堀顕子）, 3, 応用化学科, 後期, 豊洲, 専門
D0470750, 卒業研究１（正留隆）, 3, 応用化学科, 後期, 豊洲, 専門
D0470750, 卒業研究１（山下光雄）, 3, 応用化学科, 後期, 豊洲, 専門
D0470800, 卒業研究２（今林慎一郎）, 3, 応用化学科, 後期, 豊洲, 専門
D0470800, 卒業研究２（大口裕之）, 3, 応用化学科, 後期, 豊洲, 専門
D0470800, 卒業研究２（北川理）, 3, 応用化学科, 後期, 豊洲, 専門
D0470800, 卒業研究２（木戸脇匡俊）, 3, 応用化学科, 後期, 豊洲, 専門
D0470800, 卒業研究２（清野肇）, 3, 応用化学科, 後期, 豊洲, 専門
D0470800, 卒業研究２（小西利史）, 3, 応用化学科, 後期, 豊洲, 専門
D0470800, 卒業研究２（田嶋稔樹）, 3, 応用化学科, 後期, 豊洲, 専門
