F0055100, 電気回路基礎, 1, 情報通信工学科, 前期, 大宮, 専門
F0250800, 回路の過渡現象, 1, 情報通信工学科, 後期, 大宮, 専門
F0845800, 回路設計演習, 2, 情報通信工学科, 前期, 大宮, 専門
F0125200, 基礎電子回路, 1, 情報通信工学科, 後期, 大宮, 専門
F0135101, 応用電子回路, 2, 情報通信工学科, 前期, 大宮, 専門
F0031200, 基礎電磁気学および演習, 1, 情報通信工学科, 後期, 大宮, 専門
F0103900, 応用電磁気学, 2, 情報通信工学科, 後期, 大宮, 専門
F0180700, 論理設計, 1, 情報通信工学科, 前期, 大宮, 専門
F0720000, 情報処理基礎, 4, 情報通信工学科, 後期, 豊洲, 専門
F0731700, 情報処理１, 2, 情報通信工学科, 前期, 大宮, 専門
L0984000, 情報倫理, 3, 情報通信工学科, 前期, 豊洲, 専門
F0732500, 情報処理２, 2, 情報通信工学科, 後期, 大宮, 専門
F0830700, パターン認識, 3, 情報通信工学科, 前期, 豊洲, 専門
F0840600, 生体情報工学, 3, 情報通信工学科, 前期, 豊洲, 専門
F0151800, 情報理論, 2, 情報通信工学科, 前期, 大宮, 専門
F0846000, 情報通信数学, 1, 情報通信工学科, 後期, 大宮, 専門
F0270600, 通信方式, 2, 情報通信工学科, 後期, 大宮, 専門
F0342300, 情報通信ネットワーク, 2, 情報通信工学科, 前期, 大宮, 専門
F0846200, セキュアネットワーク, 3, 情報通信工学科, 前期, 豊洲, 専門
F0344900, 光通信工学, 2, 情報通信工学科, 後期, 大宮, 専門
F0845500, 移動通信工学, 2, 情報通信工学科, 後期, 大宮, 専門
F0380300, マイクロ波工学, 3, 情報通信工学科, 前期, 豊洲, 専門
F0611100, 宇宙通信工学, 3, 情報通信工学科, 前期, 豊洲, 専門
F0845900, 情報通信システム設計論, 3, 情報通信工学科, 前期, 豊洲, 専門
F0145000, 通信計測, 1, 情報通信工学科, 後期, 大宮, 専門
F0172400, ディジタル信号処理, 3, 情報通信工学科, 前期, 豊洲, 専門
F0350600, メディア情報工学, 2, 情報通信工学科, 後期, 大宮, 専門
F0750700, メディア通信工学, 3, 情報通信工学科, 前期, 豊洲, 専門
F0580800, 電波工学１, 2, 情報通信工学科, 後期, 大宮, 専門
L0305800, データベース, 2, 情報通信工学科, 後期, 大宮, 専門
F0570900, 電波工学２, 3, 情報通信工学科, 前期, 豊洲, 専門
F0780400, 情報通信特論１, 2, 情報通信工学科, 後期, 大宮, 専門
