30250100, 統計学基礎, 4, 生命科学科 生命医工学コース, 後期, 大宮, 総合科目
30115000, 情報社会と法, 4, 生命科学科 生命医工学コース, 後期, 大宮, 総合科目
30205000, 技術者と倫理, 2, 生命科学科 生命医工学コース, 後期, 大宮, 総合科目
N1310200, 微分積分学I, 4, 生命科学科 生命医工学コース, 後期, 大宮, 共通科目（学部基礎）
N1320100, 微分積分学II, 1, 生命科学科 生命医工学コース, 前期, 大宮, 共通科目（学部基礎）
N1410000, 線形代数I, 4, 生命科学科 生命医工学コース, 後期, 大宮, 共通科目（学部基礎）
N1420900, 線形代数II, 1, 生命科学科 生命医工学コース, 前期, 大宮, 共通科目（学部基礎）
N1450600, 微分方程式, 1, 生命科学科 生命医工学コース, 前期, 大宮, 共通科目（学部基礎）
N1460500, 確率統計, 1, 生命科学科 生命医工学コース, 後期, 大宮, 共通科目（学部基礎）
N1430800, 解析学I, 1, 生命科学科 生命医工学コース, 後期, 大宮, 共通科目（学部基礎）
N1435700, 解析学II, 2, 生命科学科 生命医工学コース, 前期, 大宮, 共通科目（学部基礎）
N1610502, 一般力学I, 4, 生命科学科 生命医工学コース, 後期, 大宮, 共通科目（学部基礎）
N1620400, 一般力学II, 1, 生命科学科 生命医工学コース, 前期, 大宮, 共通科目（学部基礎）
N1510702, 物理学I, 1, 生命科学科 生命医工学コース, 前期, 大宮, 共通科目（学部基礎）
N1520600, 物理学II, 1, 生命科学科 生命医工学コース, 後期, 大宮, 共通科目（学部基礎）
N1530502, 生物学I, 4, 生命科学科 生命医工学コース, 後期, 大宮, 共通科目（学部基礎）
N1540400, 生物学II, 1, 生命科学科 生命医工学コース, 前期, 大宮, 共通科目（学部基礎）
N1550302, 化学I, 4, 生命科学科 生命医工学コース, 後期, 大宮, 共通科目（学部基礎）
N1560200, 化学II, 1, 生命科学科 生命医工学コース, 前期, 大宮, 共通科目（学部基礎）
N1710400, 現代物理学概論, 2, 生命科学科 生命医工学コース, 前期, 大宮, 共通科目（学部基礎）
N1810100, Introduction to Electromagnetism, 1, 生命科学科 生命医工学コース, 後期, 大宮, 共通科目（学部基礎）
N2810000, 情報処理I, 4, 生命科学科 生命医工学コース, 後期, 大宮, 共通科目（システム・情報）
N2830800, 情報処理演習I, 4, 生命科学科 生命医工学コース, 後期, 大宮, 共通科目（システム・情報）
N2820900, 情報処理II, 1, 生命科学科 生命医工学コース, 前期, 大宮, 共通科目（システム・情報）
N2840700, 情報処理演習II, 1, 生命科学科 生命医工学コース, 前期, 大宮, 共通科目（システム・情報）
N2610400, システム工学Ａ（システム計画方法論）, 1, 生命科学科 生命医工学コース, 後期, 大宮, 共通科目（システム・情報）
N2660900, システム工学演習Ａ, 1, 生命科学科 生命医工学コース, 後期, 大宮, 共通科目（システム・情報）
N2605500, システム工学Ｂ（数理計画法）, 2, 生命科学科 生命医工学コース, 前期, 大宮, 共通科目（システム・情報）
N2650000, システム工学演習Ｂ, 2, 生命科学科 生命医工学コース, 前期, 大宮, 共通科目（システム・情報）
N2620300, システム工学Ｃ（データサイエンス）, 2, 生命科学科 生命医工学コース, 後期, 大宮, 共通科目（システム・情報）
N2665000, システム工学演習Ｃ, 2, 生命科学科 生命医工学コース, 後期, 大宮, 共通科目（システム・情報）
N2600600, 創る, 4, 生命科学科 生命医工学コース, 後期, 大宮, 共通科目（システム・情報）
N2300400, SDGsマネジメント論, 1, 生命科学科 生命医工学コース, 後期, 大宮, 共通科目（システム・情報）
