30250100, 統計学基礎, 4, 生命科学科 生命科学コース, 後期, 大宮, 総合科目
30115000, 情報社会と法, 4, 生命科学科 生命科学コース, 後期, 大宮, 総合科目
30205000, 技術者と倫理, 2, 生命科学科 生命科学コース, 後期, 大宮, 総合科目
N1310200, 微分積分学I, 4, 生命科学科 生命科学コース, 後期, 大宮, 共通科目（学部基礎）
N1320100, 微分積分学II, 1, 生命科学科 生命科学コース, 前期, 大宮, 共通科目（学部基礎）
N1410000, 線形代数I, 4, 生命科学科 生命科学コース, 後期, 大宮, 共通科目（学部基礎）
N1420900, 線形代数II, 1, 生命科学科 生命科学コース, 前期, 大宮, 共通科目（学部基礎）
N1450600, 微分方程式, 1, 生命科学科 生命科学コース, 前期, 大宮, 共通科目（学部基礎）
N1460500, 確率統計, 1, 生命科学科 生命科学コース, 後期, 大宮, 共通科目（学部基礎）
N1430800, 解析学I, 1, 生命科学科 生命科学コース, 後期, 大宮, 共通科目（学部基礎）
N1435700, 解析学II, 2, 生命科学科 生命科学コース, 前期, 大宮, 共通科目（学部基礎）
N1610501, 一般力学I, 4, 生命科学科 生命科学コース, 後期, 大宮, 共通科目（学部基礎）
N1620400, 一般力学II, 1, 生命科学科 生命科学コース, 前期, 大宮, 共通科目（学部基礎）
N1510701, 物理学I, 1, 生命科学科 生命科学コース, 前期, 大宮, 共通科目（学部基礎）
N1520600, 物理学II, 1, 生命科学科 生命科学コース, 後期, 大宮, 共通科目（学部基礎）
N1530501, 生物学I, 4, 生命科学科 生命科学コース, 後期, 大宮, 共通科目（学部基礎）
N1540400, 生物学II, 1, 生命科学科 生命科学コース, 前期, 大宮, 共通科目（学部基礎）
N1550301, 化学I, 4, 生命科学科 生命科学コース, 後期, 大宮, 共通科目（学部基礎）
N1560200, 化学II, 1, 生命科学科 生命科学コース, 前期, 大宮, 共通科目（学部基礎）
N1710400, 現代物理学概論, 2, 生命科学科 生命科学コース, 前期, 大宮, 共通科目（学部基礎）
N1810100, Introduction to Electromagnetism, 1, 生命科学科 生命科学コース, 後期, 大宮, 共通科目（学部基礎）
N2810000, 情報処理I, 4, 生命科学科 生命科学コース, 後期, 大宮, 共通科目（システム・情報）
N2830800, 情報処理演習I, 4, 生命科学科 生命科学コース, 後期, 大宮, 共通科目（システム・情報）
N2820900, 情報処理II, 1, 生命科学科 生命科学コース, 前期, 大宮, 共通科目（システム・情報）
N2840700, 情報処理演習II, 1, 生命科学科 生命科学コース, 前期, 大宮, 共通科目（システム・情報）
N2610400, システム工学Ａ（システム計画方法論）, 1, 生命科学科 生命科学コース, 後期, 大宮, 共通科目（システム・情報）
N2660900, システム工学演習Ａ, 1, 生命科学科 生命科学コース, 後期, 大宮, 共通科目（システム・情報）
N2605500, システム工学Ｂ（数理計画法）, 2, 生命科学科 生命科学コース, 前期, 大宮, 共通科目（システム・情報）
N2650000, システム工学演習Ｂ, 2, 生命科学科 生命科学コース, 前期, 大宮, 共通科目（システム・情報）
N2620300, システム工学Ｃ（データサイエンス）, 2, 生命科学科 生命科学コース, 後期, 大宮, 共通科目（システム・情報）
N2665000, システム工学演習Ｃ, 2, 生命科学科 生命科学コース, 後期, 大宮, 共通科目（システム・情報）
N2600600, 創る, 4, 生命科学科 生命科学コース, 後期, 大宮, 共通科目（システム・情報）
N2300400, SDGsマネジメント論, 1, 生命科学科 生命科学コース, 後期, 大宮, 共通科目（システム・情報）
N2270700, 人間工学, 3, 生命科学科 生命科学コース, 前期, 大宮, 共通科目（システム・情報）
N2860200, データサイエンス(応用), 1, 生命科学科 生命科学コース, 後期, 大宮, 共通科目（システム・情報）
N1620500, システム科学, 2, 生命科学科 生命科学コース, 前期, 大宮, 共通科目（システム・情報）
N2675100, データサイエンスリテラシー, 1, 生命科学科 生命科学コース, 前期, 大宮, 共通科目（システム・情報）
N3024070, システム理工学入門, 1, 生命科学科 生命科学コース, 前期, 大宮, 共通科目（システム・情報）
N2675200, AI基礎, 2, 生命科学科 生命科学コース, 前期, 大宮, 共通科目（システム・情報）
N2900000, Advanced Systems Science and Engineering, 1, 生命科学科 生命科学コース, 後期, 大宮, 共通科目（システム・情報）
N0010900, 生命科学概論, 4, 生命科学科 生命科学コース, 後期, 大宮, 専門
N0020801, 解剖学, 4, 生命科学科 生命科学コース, 後期, 大宮, 専門
N0030701, 生理学I, 1, 生命科学科 生命科学コース, 前期, 大宮, 専門
