G0110200, 電子工学一般, 4, 電子工学科, 後期, 豊洲, 専門
G0665500, 電気数学１, 4, 電子工学科, 後期, 豊洲, 専門
G0666300, 電気数学２, 1, 電子工学科, 前期, 大宮, 専門
G0060900, 電気回路１, 4, 電子工学科, 後期, 豊洲, 専門
G0070800, 電気回路２, 1, 電子工学科, 前期, 大宮, 専門
G0080700, 電気回路３, 1, 電子工学科, 後期, 大宮, 専門
G0100300, 電気回路総合, 2, 電子工学科, 前期, 大宮, 専門
G0010400, 電磁気学１, 1, 電子工学科, 前期, 大宮, 専門
G0020300, 電磁気学２, 1, 電子工学科, 後期, 大宮, 専門
G0030200, 電磁気学３, 2, 電子工学科, 前期, 大宮, 専門
G0050000, 電磁気学総合, 2, 電子工学科, 前期, 大宮, 専門
G0421300, 制御工学, 2, 電子工学科, 後期, 大宮, 専門
G0141700, アナログ電子回路１, 1, 電子工学科, 後期, 大宮, 専門
G0160700, ディジタル電子回路, 2, 電子工学科, 前期, 大宮, 専門
G0914000, 電子材料基礎, 1, 電子工学科, 後期, 大宮, 専門
G0240700, 電子材料, 2, 電子工学科, 後期, 大宮, 専門
G0180500, 電子物性基礎, 2, 電子工学科, 前期, 大宮, 専門
G0190400, 電子物性, 2, 電子工学科, 後期, 大宮, 専門
G0221700, 半導体工学, 2, 電子工学科, 後期, 大宮, 専門
G0710900, 光エレクトロニクス, 2, 電子工学科, 後期, 大宮, 専門
G0914400, 電子デバイス工学, 3, 電子工学科, 前期, 豊洲, 専門
G0914600, 電子材料評価論, 3, 電子工学科, 前期, 豊洲, 専門
G0700000, 情報理論, 2, 電子工学科, 後期, 大宮, 専門
G0705900, 信号処理回路, 2, 電子工学科, 後期, 大宮, 専門
G0914700, 情報伝送回路, 2, 電子工学科, 後期, 大宮, 専門
G0222500, 集積回路工学, 3, 電子工学科, 前期, 豊洲, 専門
G0301700, 音響システム, 3, 電子工学科, 前期, 豊洲, 専門
G0913900, メディカルエレクトロニクス, 3, 電子工学科, 前期, 豊洲, 専門
G0914200, 信頼性品質工学, 2, 電子工学科, 後期, 大宮, 専門
G0295100, 電波工学, 2, 電子工学科, 後期, 大宮, 専門
G0650700, 無線機器, 3, 電子工学科, 前期, 豊洲, 専門
G0820600, 電波法規, 3, 電子工学科, 後期, 豊洲, 専門
G0830500, 通信法令, 4, 電子工学科, 前期, 豊洲, 専門
G0865100, 先端技術, 2, 電子工学科, 後期, 大宮, 専門
G0840400, 電子工学基礎実験, 2, 電子工学科, 前期, 大宮, 専門
G0850300, 電子工学コース実験２, 3, 電子工学科, 前期, 豊洲, 専門
G0860200, 電子工学コース実験１, 2, 電子工学科, 後期, 大宮, 専門
G0867700, 電子工学ゼミナール, 3, 電子工学科, 前期, 豊洲, 専門
G0413100, ものつくり入門, 1, 電子工学科, 前期, 大宮, 専門
G0914870, 電子工学国際インターンシップ５, 4, 電子工学科, 前期, 豊洲, 専門
G0914880, 電子工学国際インターンシップ４, 4, 電子工学科, 前期, 豊洲, 専門
G0901430, 電子工学製作実習, 1, 電子工学科, 後期, 大宮, 専門
G0141800, アナログ電子回路２, 2, 電子工学科, 前期, 大宮, 専門
G0914850, 電子工学国際インターンシップ７, 1, 電子工学科, 後期, 大宮, 専門
G0836400, Electronic Circuits, 2, 電子工学科, 後期, 大宮, 専門
G0860400, 電子工学倫理, 2, 電子工学科, 後期, 大宮, 専門
G0925000, Introduction to Advanced Electronics, 3, 電子工学科, 前期, 豊洲, 専門
G0914890, 電子工学国際インターンシップ３, 2, 電子工学科, 後期, 大宮, 専門
G0914900, 電子工学国際インターンシップ２, 2, 電子工学科, 後期, 大宮, 専門
G0914910, 電子工学国際インターンシップ１, 2, 電子工学科, 後期, 大宮, 専門
G0881000, 卒業研究１（小池義和）, 3, 電子工学科, 後期, 豊洲, 専門
G0882000, 卒業研究２（小池義和）, 3, 電子工学科, 後期, 豊洲, 専門
G0881000, 卒業研究１（石川博康）, 3, 電子工学科, 後期, 豊洲, 専門
G0881000, 卒業研究１（上野和良）, 3, 電子工学科, 後期, 豊洲, 専門
G0881000, 卒業研究１（加納慎一郎）, 3, 電子工学科, 後期, 豊洲, 専門
G0881000, 卒業研究１（諏訪将範）, 3, 電子工学科, 後期, 豊洲, 専門
G0881000, 卒業研究１（中村統太）, 3, 電子工学科, 後期, 豊洲, 専門
G0881000, 卒業研究１（浜野学）, 3, 電子工学科, 後期, 豊洲, 専門
G0881000, 卒業研究１（本間哲哉）, 3, 電子工学科, 後期, 豊洲, 専門
G0881000, 卒業研究１（前多正）, 3, 電子工学科, 後期, 豊洲, 専門
G0881000, 卒業研究１（村上嘉代子）, 3, 電子工学科, 後期, 豊洲, 専門
G0881000, 卒業研究１（山口正樹）, 3, 電子工学科, 後期, 豊洲, 専門
G0881000, 卒業研究１（横井秀樹）, 3, 電子工学科, 後期, 豊洲, 専門
G0881000, 卒業研究１（佐々木昌浩）, 3, 電子工学科, 後期, 豊洲, 専門
